metro	country	region	ismetro	location.code	gdpusc_2000	gdpusc_2001	gdpusc_2002	gdpusc_2003	gdpusc_2004	gdpusc_2005	gdpusc_2006	gdpusc_2007	gdpusc_2008	gdpusc_2009	gdpusc_2010	gdpusc_2011	gdpusc_2012	gdpusc_2013	gdpusc_2014	gdpusc_2015	gdpusc_2016	gdpusc_2017	gdpppp_2000	gdpppp_2001	gdpppp_2002	gdpppp_2003	gdpppp_2004	gdpppp_2005	gdpppp_2006	gdpppp_2007	gdpppp_2008	gdpppp_2009	gdpppp_2010	gdpppp_2011	gdpppp_2012	gdpppp_2013	gdpppp_2014	gdpppp_2015	gdpppp_2016	gdpppp_2017	poptot_2000	poptot_2001	poptot_2002	poptot_2003	poptot_2004	poptot_2005	poptot_2006	poptot_2007	poptot_2008	poptot_2009	poptot_2010	poptot_2011	poptot_2012	poptot_2013	poptot_2014	poptot_2015	poptot_2016	poptot_2017
Abu Dhabi	UAE	Middle East and Africa	1	AEM01	71222.15536	73073.80232	72797.04293	78886.96747	87393.14769	93612.16707	99954.08995	97164.40654	96722.62545	89221.07178	88762.80518	92772.12401	96688.75066	102438.6915	107992.8494	111631.0967	115089.8309	119459.3583	74193.75591	87779.28548	90269.43336	103799.2787	126076.2701	147725.8444	170351.0877	166228.9721	177346.7106	157576.3338	162242.3513	178752.8196	188807.0825	202767.2119	218758.1649	223951.404	232557.2203	252607.6376	682.6919444	712.0322351	748.7680784	795.780583	866.734675	919.792116	1045.957226	1194.698719	1348.520433	1495.412886	1765.876555	1956.562157	1926.910324	1963.040768	2044.446354	2069.821667	2046.709408	2108.635447
Ahmedabad	India	Emerging Asia-Pacific	1	INM08	5326.523414	5416.320692	5948.118613	6512.496475	7383.153389	8349.687535	9322.136828	10534.22158	11798.84486	13112.784	14590.01851	15714.73488	17823.08216	19206.79783	20942.34945	23183.22738	25173.86732	26619.37454	19378.11959	20775.19671	22816.55186	25689.4031	29092.70693	33509.14884	37746.7289	42628.44284	45382.00955	50561.42795	54771.86609	59640.35445	68351.4663	72868.53501	79780.20429	86107.43445	93480.04843	100326.7883	4762.581812	4912.912	5042.72883	5175.64564	5311.970186	5451.01325	5593.582339	5739.48945	5889.070249	6041.555606	6197.835394	6357.693	6577.871662	6805.675653	7041.368189	7265.980941	7491.27548	7714.766104
Alexandria	Egypt	Middle East and Africa	1	EGM02	13750.86653	14286.35551	14662.31367	15125.03669	15724.71977	16445.3663	17622.96462	19721.47643	20978.17628	21920.69348	21894.75215	22394.57422	23104.72098	23038.34114	23898.14458	25311.07442	26336.22395	27419.42907	46762.70038	50304.18394	53068.8963	55834.90298	60125.13412	64966.63908	71727.2527	81712.72849	89635.58976	93602.54778	93957.39452	98024.45855	102750.9678	105339.2316	111008.8352	118522.2306	124505.0222	122714.2102	3681.181749	3766.708186	3852.234623	3918.764049	3987.89556	4057.268025	4123.869	4382.141515	4459.320236	4542.066137	4629.948869	4704.698065	4799.965928	4897.162371	4996.327841	5085.064924	5175.761453	5268.622847
Algiers	Algeria	Middle East and Africa	1	DZM01	12796.40384	13153.57719	13972.22333	14777.48299	15412.18717	16448.78589	16859.64074	17637.73711	18254.67829	18380.94307	18933.39766	19148.12999	19662.43012	20204.37423	20972.15382	21653.90142	22355.17268	22856.25186	32513.32229	34449.56446	37170.78455	40070.07497	42968.8431	47301.27007	49828.20193	53535.74661	56235.72007	57961.36006	60273.38164	62780.18109	65336.40981	68074.54339	71749.99848	75391.61587	80033.0379	82358.98919	2647.5714	2690.1431	2732.7148	2775.2865	2817.8582	2860.4299	2903.0016	2945.5733	2988.145	3026.484446	3065.369653	3104.755248	3144.64627	3185.051544	3225.97485	3269.669819	3318.015737	3372.337304
Almaty	Kazakhstan	Eastern Europe and Central Asia	1	KZM01	11281.79952	12756.27977	14014.39602	15486.96694	17173.33197	18898.39383	20999.40271	23060.87139	24104.16328	24427.87771	26925.15397	28879.6984	31196.553	32986.92888	34493.2407	35327.97502	35765.77797	37146.45419	21921.54809	26154.78531	30638.04618	33717.36688	37611.24378	42917.02334	50116.87902	57406.97435	58677.65663	64892.69916	70677.29436	74467.5084	80746.3255	86732.75103	91778.06942	99032.72975	103130.2612	106934.7706	1129.599	1130.5915	1141.0325	1162.4245	1192.3465	1228.6905	1267.571	1305.9925	1344.922	1384.7	1410.052022	1435.287449	1460.522877	1505.656444	1551.942594	1599.473527	1641.700851	1685.266002
Ankara	Turkey	Eastern Europe and Central Asia	1	TRM02	46161.25622	43858.47724	46530.50338	48773.26232	53081.0642	58402.82528	63052.25867	68384.95842	68629.66654	66032.04339	68711.46295	74359.43825	75784.00925	82509.42307	85659.17934	89971.89263	93162.16373	98429.08979	66026.23131	64233.39823	67998.86947	72791.49296	82095.87952	93483.1927	104950.7422	116801.1989	119783.2301	116314.9268	121707.9355	134493.4771	139909.1944	155428.2057	163867.0251	173752.3515	182755.4125	195322.3367	3946.101317	4004.787	4063.361198	4121.610904	4179.342419	4259.005805	4336.355387	4412.056314	4487.40125	4586.229575	4699.565352	4815.526432	4909.117887	5001.350447	5119.246564	5249.086482	5333.135372	5429.405982
Anyang, Henan	China	Emerging Asia-Pacific	1	CNMA5	5209.259838	5652.046924	6296.380273	7177.873511	8319.1554	9550.390399	11062.2172	13064.47851	14782.45744	16467.65758	18690.79136	20971.0679	22522.92693	24200.88498	26306.36198	28253.03276	30550.33519	32486.79191	9465.258778	10361.87027	11681.54753	13434.39392	16541.14199	19742.63776	22696.50923	27020.10536	32710.61527	35793.17547	39614.38919	42215.24479	44255.22348	47288.41394	50662.38655	56372.05941	61454.28125	66534.55881	5367.192267	5350.943492	5333.266385	5314.601085	5295.421614	5276.120025	5256.675704	5236.840726	5216.560695	5195.77576	5174.550261	5135.045224	5114.785574	5088.567492	5083.538522	5119.783386	5150.462403	5150.898616
Athinai	Greece	Western Europe	1	ELM01	120994.0213	126448.0463	132639.6817	140215.7997	148516.0866	150538.6553	160799.8925	167330.4861	167648.0573	161697.2175	152277.806	137453.0547	126282.2363	122673.3372	123347.3723	122793.582	122718.1944	124470.9062	99383.8228	105612.8336	113502.6206	122402.0426	134322.8537	140416.4899	155146.0293	165356.6563	168361.7583	164408.1563	157433.953	145686.8056	136673.4515	134527.8995	136880.9903	137166.7565	139152.5631	143308.0553	3859.060724	3882.027796	3905.567	3926.0645	3944.0235	3962.117	3977.0215	3986.6645	3995.092	4001.164	3997.8915	3976.484819	3935.439619	3887.2923	3843.303	3802.0585	3776.736462	3767.456907
Atlanta-Sandy Springs-Roswell, GA	United States	North America	1	USM01	249263.3857	252192.8866	253031.2317	257343.5906	263870.6222	275007.5143	281600.8215	290635.2983	283628.3362	269567.5355	269933.0427	274606.7085	278526.5866	288518.0242	300805.1487	311786.7411	324028.0757	334942.6413	206199.0701	213484.0564	217838.6242	224653.3203	235696.0502	251749.5824	265102.6457	279930.8851	277877.034	269567.5355	272305.2625	280668.0829	291487.2354	307877.0099	327621.2748	347913.859	368105.2511	386344.9508	4274.858813	4387.448313	4478.210125	4562.37075	4650.2115	4760.06325	4910.0715	5047.61975	5155.06775	5231.51025	5296.4495	5365.4145	5441.47775	5510.56025	5594.995	5687.2245	5778.6075	5877.7025
Auckland	New Zealand	Advanced Asia-Pacific	1	NZM01	32391.71563	32909.20013	35910.61061	38273.21075	40281.7625	41269.49429	41668.67879	42762.59008	41508.87928	41792.67727	42625.93242	43554.39314	45243.61335	45766.01386	48125.69484	50899.06653	52914.62489	54369.63102	29592.62636	31031.16847	34437.22024	37601.88646	40666.49631	42653.75867	43715.81863	45822.56307	45532.91932	46078.07434	47267.33645	49526.54411	52179.9342	54202.14872	58748.2718	62874.50523	66210.54016	68964.95444	1203.527027	1229.146182	1263.100321	1298.539481	1326.052229	1351.335518	1375.423322	1396.142996	1414.957298	1431.711559	1447.172319	1467.930774	1487.190817	1502.344636	1523.513849	1548.722217	1572.706769	1594.325077
Austin-Round Rock, TX	United States	North America	1	USM31	61434.15041	62238.34664	62431.22884	65019.48266	68558.49761	73342.03466	79990.71827	82741.84501	84077.72252	82323.21461	87416.92698	93385.17921	98977.69324	104902.2292	111460.6721	119267.2251	124286.4043	127879.4837	54032.08933	55706.24992	56341.01432	59406.56745	63801.36068	69917.54919	77633.7281	81398.05003	84550.63789	82323.21461	88715.63561	96395.97596	103510.1649	111719.5717	120494.5256	127288.6337	133532.5041	139876.852	1257.400625	1312.404	1344.615125	1372.86775	1406.384	1449.12225	1507.73425	1569.662	1626.39675	1676.08275	1722.48175	1774.19475	1827.32125	1877.41375	1933.959	1991.11375	2048.962	2104.131907
Baghdad	Iraq	Middle East and Africa	1	IQM01	21853.83066	22353.55592	20704.63757	13731.58031	22460.35759	22857.48419	24753.71123	25078.6479	27598.74259	29175.8367	30854.81251	33717.28377	37686.90435	47125.44956	46299.46903	45290.57797	50514.58602	50361.58099	27485.10943	26399.47524	24592.30981	46258.3947	77692.10926	79719.69977	86841.29137	90703.77925	102907.1798	109767.7512	116464.4549	124920.3319	145470.5619	158626.412	162746.7903	171318.7062	173062.1263	172498.5186	5273.740307	5412.902493	5555.9317	5702.739635	5556.931165	5415.241015	5276.972288	5142.232618	5715.789899	5856.881547	6001.652303	6150	6299.141497	6451.898466	6608.360605	6771.081269	6942.079702	7122.840008
Baku	Azerbaijan	Eastern Europe and Central Asia	1	AZM01	6123.945165	6584.271753	7129.486323	7836.615694	8551.649393	10969.82182	15091.6937	19078.71006	21121.6615	23222.91825	24385.31366	24035.92301	24552.10767	26069.41449	27039.08773	27360.92392	26739.51091	26819.57403	14085.61679	15286.70672	16671.38284	19208.33776	22227.14758	28765.42883	41934.49209	53370.54666	61660.70768	68571.26762	72510.88562	75127.49821	78568.35868	84882.69222	89212.87251	91729.83735	89663.40774	88709.54338	1826.39011	1838.79354	1851.19697	1863.6004	1876.00383	1888.40726	1927.755445	1967.10363	2006.451816	2045.8	2076.066667	2106.333	2136.6	2166.842206	2196.538608	2226.194583	2246.499743	2266.849227
Baltimore-Columbia-Towson, MD	United States	North America	1	USM02	124340.2365	125131.7379	128455.1964	131037.5843	136519.1535	142948.7729	145766.6581	147833.7623	148254.2801	147571.3945	151057.7521	154258.8777	155651.1353	157080.5268	159252.9903	160651.1739	166393.8368	166718.4784	98169.96693	101788.6001	106802.0079	111397.4882	119402.5983	129030.1755	135887.1598	141877.4481	144779.9747	147571.3945	152625.2459	158152.5905	162776.3363	167267.2604	173266.2573	179313.0811	189040.4075	193098.9978	2555.743	2573.501688	2593.666063	2611.95225	2628.6425	2642.611	2656.141	2666.6085	2678.544	2694.21125	2713.23025	2732.79875	2752.79625	2769.51875	2782.5115	2792.35575	2799.15175	2814.697
Bandung	Indonesia	Emerging Asia-Pacific	1	IDM03	8846.568391	9554.596275	9966.473748	10796.26672	11559.41406	12322.06961	13182.42741	14131.45336	15076.38452	15750.43096	17044.05718	18294.23692	19606.77925	20917.58871	22279.2531	23808.93935	25459.79017	26950.53892	23068.94226	25451.54258	27074.43509	29590.1729	31553.94397	35861.05728	40919.5251	43267.54522	47637.97748	50656.40264	54414.30495	57952.64653	63847.61459	70510.46467	76814.65534	84239.85323	90743.5783	97426.60398	6726.435481	6856.835691	6987.911804	7119.694968	7252.235256	7385.654178	7520.326729	7656.157628	7792.526689	7928.764706	8064.449732	8206.275464	8348.963576	8491.075233	8631.079672	8767.675023	8900.929717	9031.614229
Bangkok (BMR)	Thailand	Emerging Asia-Pacific	1	THM01	90582.61953	95469.94045	99046.56153	104717.3337	111919.8391	116960.1837	121918.8861	127810.8166	128642.5022	126910.4748	137612.8659	138291.6497	147667.6298	153797.2496	158776.7039	165114.4339	171236.9918	178252.8103	231688.1935	249474.6591	260192.3544	277913.1069	302616.5723	321488.2781	338430.8522	361370.6694	367943.2661	367743.518	392106.203	398305.136	434426.2578	458705.932	488694.3416	521197.5571	549960.5136	584703.6194	10509.02197	10917.18832	11330.64361	11750.42149	12177.63201	12613.07854	13055.47234	13503.89154	13959.65183	14424.30176	14899.49979	15111.20236	15321.34654	15527.02365	15725.62866	15914.60482	16126.78581	16334.03254
Baoding, Hebei	China	Emerging Asia-Pacific	1	CNM71	9280.755951	10171.70852	11310.93988	12747.42924	14595.80648	16551.64455	18239.91229	20373.98203	22818.85988	25328.93446	28874.98529	32339.98352	35735.68179	38144.26674	40852.50968	43712.18536	46519.66213	49274.19257	21891.37591	23289.98318	25799.4414	28689.78827	33159.10123	37968.73299	42149.59763	45985.08139	49907.00431	55053.54912	61738.07914	69556.41269	76848.57845	81564.2706	86044.58305	89421.55651	96140.40343	103658.3317	10452.2596	10528.26716	10593.39823	10656.70953	10728.91046	10804.03052	10887.44305	10968.42627	11049.85072	11131.30532	11207.12431	11277.7737	11348.53172	11416.3	11490.1	11552.4	11628.18167	11693.55383
Baotou, Inner Mongolia	China	Emerging Asia-Pacific	1	CNM29	5505.77637	6061.859784	7310.602899	9613.442812	12353.27401	15886.31038	18825.2778	22571.50808	26995.52367	31746.73584	36826.21357	42534.27667	47893.59553	49205.88005	53388.37985	57734.19397	61920.30385	65285.565	9759.611233	10632.64867	14199.96952	19168.02386	23368.25336	31835.09012	40482.59763	48435.03181	55567.25478	69002.92167	74098.94413	85344.50252	96298.39471	98388.18989	103095.8642	110133.6518	117043.8196	126069.1755	2292.779552	2326.624919	2357.295187	2387.906037	2421.619753	2453.158766	2493.725948	2531.964725	2571.136771	2610.252729	2652.027726	2691.030725	2728.731397	2766.2	2798.514434	2802.817891	2810.64851	2819.732595
Barcelona	Spain	Western Europe	1	ESM02	150000.7738	155840.7861	158458.0642	163348.9675	167816.8019	175523.6197	181321.9221	187574.545	187763.6557	180479.1742	180547.747	176746.6372	171294.518	169018.9584	172550.944	179458.229	185515.4204	191094.5206	121191.7542	128397.3946	132494.5098	139246.2321	146963.2796	158143.4117	169002.7439	179733.9598	183896.3517	178031.5999	180597.9162	181475.9748	179801.9597	180335.165	188005.1431	196171.9544	205414.3073	215406.3599	4153.506181	4182.623386	4253.775008	4344.918428	4423.350738	4497.626467	4563.166511	4636.185773	4718.158606	4763.4677	4780.41373	4793.963204	4789.862811	4758.346834	4732.686656	4734.464399	4736.812842	4733.063103
Basel-Mulhouse	Switzerland	Western Europe	1	CHM02	69746.75352	69853.19114	69340.13717	68484.12032	70225.67239	71083.02211	73448.81595	75026.04388	75399.9359	72820.16874	73932.60325	76191.77178	77080.87883	77321.54821	79156.14001	79945.16585	80224.74731	81218.24441	44747.25019	45850.43108	46249.74971	46440.96824	48780.00561	50892.72685	54163.15332	56830.10328	58283.70447	56862.16538	58127.91628	60942.8014	62474.83209	63671.17923	66259.03421	67515.84244	68704.72333	70807.74754	1187.734	1193.28832	1198.131108	1203.696652	1207.440055	1211.556959	1216.394309	1221.104953	1226.652282	1231.136818	1236.342003	1240.862021	1246.018721	1252.314845	1258.966307	1266.339653	1273.419166	1278.942999
Beijing	China	Emerging Asia-Pacific	1	CNM02	66408.50218	74178.29694	82708.80109	91806.76921	104751.5237	117112.2035	131165.6679	150184.6897	163851.4965	180564.3491	199162.4771	215294.6584	231872.2705	249726.4955	267956.4731	286445.528	305637.4153	327376.6879	118160.1929	138904.8586	163257.5241	188262.9045	217888.7309	249981.385	289021.0183	333973.6725	356128.5579	392464.5262	431247.5589	468431.291	512681.9099	556139.0952	604765.2985	658858.5345	713400.5385	774725.4474	13588.29494	13938.10697	14454.49867	14905.53359	15393.72818	15981.11537	16551.50591	17223.54354	18009.96417	18784.67065	19619	20186	20693	21148	21516	21705	21729	21952.31652
Belgian central	Belgium	Western Europe	1	BEM01	246836.3322	249649.2974	254749.5978	256431.3821	266945.6544	273667.577	280337.3222	289693.4362	292223.8701	284809.7713	293554.8152	297030.1302	298806.2239	299816.5947	303781.3485	308331.3315	312917.7121	318914.3588	173675.9354	179640.2409	185977.2949	191120.8407	204986.0074	216931.5915	228586.9034	242180.3005	248761.7736	245179.4771	255810.2922	264272.1297	270101.3186	274436.0894	284467.5951	292257.7581	299614.7843	310433.2954	4904.737853	4928.961033	4964.12042	4996.398824	5026.616451	5065.096203	5109.809291	5160.148294	5215.610093	5274.483003	5331.376014	5387.548493	5435.909345	5462.11954	5486.040551	5525.709954	5561.922795	5587.543639
Belo Horizonte	Brazil	Latin America	1	BZM02	42205.06995	42631.94141	43671.7581	43628.3318	46482.75681	47846.52995	50902.9775	55204.64349	57824.89919	56495.84777	61483.276	61745.13234	62953.68624	63443.38394	62612.58151	59263.24185	56683.42036	56772.15945	48265.54593	51686.98263	54135.70015	55164.18433	62706.54218	66122.43337	74268.49715	82955.68646	89651.48637	87374.25427	99554.00665	103550.8639	107423.3567	112527.9168	110893.6665	104487.8285	98838.79393	102200.9541	4818.365182	4888.664048	4952.534127	5014.973539	5076.019668	5135.625722	5193.865745	5250.723152	5306.246713	5360.423672	5413.313794	5463.338822	5515.384908	5567.380522	5614.305202	5659.400176	5703.304176	5744.791449
Bengaluru	India	Emerging Asia-Pacific	1	INM07	12076.08617	14410.88829	15550.03949	15824.696	19432.18731	21292.57326	23924.42586	29509.44307	32574.13731	32801.40217	33543.89361	37311.01703	38346.53823	42312.40998	45345.99567	49142.1561	54073.9026	59212.68759	36064.14881	44269.25643	46038.03877	50053.03727	65275.7186	74377.98865	85848.40498	108351.0994	118724.9935	126478.5367	128761.6636	146804.2396	153220.1072	171980.7019	189792.5459	213686.9774	236919.7169	263258.7723	5508.152031	5701.446	5935.163829	6178.462423	6432.089325	6695.387448	6969.849146	7255.562141	7553.405455	7862.604272	8184.912957	8520.435	8869.793163	9233.475478	9612.070458	9977.185979	10342.08785	10700.80686
Berlin	Germany	Western Europe	1	DEM06	154195.8653	154347.2887	152251.6288	149611.6526	148290.0947	150803.0406	155388.4296	160359.4646	165812.9789	163460.5789	168010.1419	173918.6524	174540.9891	175453.1156	179844.6208	184549.9287	189209.3614	194390.0439	114786.3135	117614.9906	118167.4607	118621.9918	120879.8005	126685.7444	134837.8944	142624.6257	150431.6439	148738.0611	155304.5566	164219.1245	168020.4505	172419.7829	180416.9201	187801.9225	195670.4151	204490.5156	4076.79484	4084.674773	4093.815049	4095.25061	4090.736807	4086.936963	4086.126234	4086.955134	4090.371219	4092.735135	4096.456133	4116.361748	4158.388642	4210.260082	4263.542956	4322.474389	4381.97011	4430.273376
Binzhou, Shandong	China	Emerging Asia-Pacific	1	CNM86	5468.118563	6184.442095	6988.419567	8155.485635	9558.229164	11250.03573	13218.79198	15456.73346	17486.20256	19836.34819	22512.27156	25209.24169	27921.7561	30281.14449	32588.5677	34895.83829	37528.71748	40299.82392	9983.183507	11349.37422	12727.80782	15098.28707	18535.96733	23635.0702	29282.89319	34457.84267	39049.03498	43115.17213	46718.64955	51608.93535	56135.1342	60547.29136	64541.80104	69036.72753	73713.32492	80646.90109	3549.848169	3579.534715	3594.008786	3609.251676	3629.215523	3654.288334	3676.563388	3697.623683	3715.588858	3734.647512	3751.838531	3770.216788	3787.881277	3805.89609	3861.702532	3904.102414	3943.146222	3960.401648
Birmingham	United Kingdom	Western Europe	1	UKM02	110519.2774	112355.9889	114878.1456	117755.4486	121016.8793	124212.5551	126409.3602	127358.7481	123726.8049	116497.9929	120011.4974	122020.6454	124136.6293	126841.5038	131323.9626	133593.9174	136893.8658	141438.6901	84000.89672	87231.84533	90339.43828	94560.49576	99277.79891	104688.9754	109457.8018	113423.8611	111853.4398	106194.5126	110738.4567	114544.9634	118721.7168	123482.3978	130244.1206	135534.7955	140641.7073	147723.4531	3530.648917	3533.444691	3547.648063	3564.044496	3578.952472	3602.531134	3625.238071	3648.955791	3679.683422	3705.728959	3734.813814	3765.696604	3792.061779	3817.851691	3847.490358	3876.937604	3912.38665	3940.74855
Birmingham-Hoover, AL	United States	North America	1	USM51	47542.27524	47801.04433	49672.85862	50453.4317	52325.68947	53164.77108	53014.76943	54054.16366	53658.15834	50636.69337	51481.21735	52388.99383	54516.37969	53898.2262	53704.88553	54892.54026	55801.01489	56640.27214	37403.6563	38834.07145	40961.33897	42590.66405	45814.04837	48329.06361	50108.18869	52588.47052	53166.11754	50636.69337	52304.66053	54415.92764	57607.03533	57697.61504	58893.98945	61280.72619	63083.89161	65044.43837	1052.567125	1058.24175	1062.73275	1069.8585	1077.339	1085.578	1097.00175	1106.289	1115.766	1123.9685	1128.36975	1130.68825	1133.6345	1137.904	1141.3685	1144.43925	1147.266	1151.91625
Bogota	Colombia	Latin America	1	COM01	46489.92085	47849.09321	49868.62891	52271.72146	55166.95637	58437.26316	62295.1107	66231.59416	68392.77736	69889.22954	72408.56846	76540.65715	79246.34874	82374.06195	86126.7013	90207.36712	92824.7247	95304.37534	80505.88377	84763.52701	90505.46268	93425.40447	100442.6519	108559.3273	118015.7098	128953.8013	133339.0516	139281.5459	144018.8999	150030.5046	158900.4348	169725.2766	181640.5684	194606.8189	201734.9198	208905.4444	7214.756152	7351.882458	7487.691931	7620.880312	7752.150763	7881	8007.196047	8130.595658	8251.007164	8368.176227	8481.990956	8592.316082	8699.087291	8802.350455	8902.323761	8999.177488	9092.388332	9182.711278
Boston-Cambridge-Newton, MA-NH	United States	North America	1	USM03	277143.7096	281942.7591	281585.5614	287911.6163	297040.6013	302742.4988	309499.0479	319810.0833	319863.469	313933.7442	325685.8985	332673.66	340667.9274	342706.1612	350660.9797	364815.1794	370068.6169	382424.197	230718.2553	239685.5933	243397.5096	252465.9855	266536.1684	278821.1975	292570.7102	310184.6389	314502.8548	313933.7442	328470.4504	339855.9298	355585.6999	365048.0335	381428.0398	407203.1727	420544.6045	440581.7479	4397.277063	4426.836625	4438.220438	4435.1085	4426.35575	4419.92375	4426.89075	4446.20425	4479.27675	4521.37325	4561.30975	4603.16575	4646.60375	4690.3915	4729.5105	4762.4775	4791.4695	4827.5395
Brasilia	Brazil	Latin America	1	BZM01	48528.78862	50130.87204	52427.91891	53391.70015	56114.31394	58955.74373	61978.27571	65619.81938	68384.51517	70965.51132	74411.20702	77366.86109	78344.95683	81127.48886	82752.63355	81801.37762	80546.85555	80906.39322	66263.87873	69177.08919	70551.70574	69115.87385	75474.17098	81201.24739	87841.34065	94036.91469	103779.2419	109752.4663	118787.8273	120834.4431	122195.4859	124119.7333	130870.4441	133376.9228	134397.722	138902.4914	3079.283027	3145.076254	3222.152076	3298.76644	3374.880648	3450.40842	3525.302206	3599.374543	3672.554407	3744.747059	3815.84265	3890.580767	3951.751889	4012.417614	4091.374129	4169.828765	4248.358173	4326.373648
Bridgeport-Stamford-Norwalk, CT	United States	North America	1	USM52	73940.14788	75680.79188	74904.75174	76298.18177	78746.52801	82500.34421	83962.95117	91218.56247	90407.262	83659.84277	84480.49897	82969.69494	85555.70658	85463.2667	85937.25068	86553.2604	86758.45951	84854.40222	59752.67044	62198.99197	62606.98227	64908.72693	68970.01924	74407.42679	77903.62945	86989.27924	88674.56341	83659.84277	85352.7958	85400.71476	90440.53034	92546.0754	95617.36527	98938.7524	100813.3437	100108.829	883.285	888.42175	892.3956875	895.76725	897.27145	897.53165	896.594075	897.660125	903.050175	909.7671	918.57205	927.5538	934.153925	939.745675	943.173075	944.4577	944.576275	948.7938
Brisbane	Australia	Advanced Asia-Pacific	1	AUM04	58822.47759	60872.83845	66399.45779	67894.80972	71932.8033	75418.934	80751.90079	86077.24335	90344.41518	92216.94384	93422.09414	94684.81805	100815.3516	101855.3962	102480.556	106055.0254	108918.3582	110679.3775	42760.16285	44680.57103	48897.99856	51858.64269	56471.90572	61454.75283	67303.87104	73327.2597	78061.5752	83308.31441	82272.63047	84869.28205	93123.71008	94509.0132	97237.29998	103036.7502	107628.3087	110811.1174	1672.585641	1703.782098	1741.832666	1786.459811	1828.652295	1871.562057	1914.680247	1964.640731	2019.624847	2073.299438	2112.812195	2153.366793	2201.512781	2246.138948	2286.121019	2323.567209	2367.405315	2418.792975
Bucuresti	Romania	Eastern Europe and Central Asia	1	ROM01	23573.30824	23277.70214	24925.04867	25977.87945	27931.66124	32413.60647	33825.51527	36900.80624	43746.94703	38469.85793	39807.26739	41221.70512	41300.67561	42578.33084	44125.91582	45897.99105	49012.57205	52064.92292	38273.64719	38597.50094	41733.51487	44478.22986	49358.00948	59260.5147	63981.00755	73778.19665	89259.45082	78045.77979	81158.76314	88419.45634	87171.43904	93652.98442	98515.29602	106498.5659	115418.5556	124264.9408	2029.977743	2014.43713	2002.598751	1999.598481	2000.922228	2004.985887	2014.735432	2023.045048	2021.54854	2021.754996	2021.970719	2019.996885	2010.539961	2004.035827	1995.288081	1988.19423	1989.927832	1993.636696
Budapest	Hungary	Eastern Europe and Central Asia	1	HUM01	47052.15764	49247.879	53200.97018	54080.09435	56815.97619	60149.2685	64019.12655	65159.50321	65280.35474	62711.56629	63293.03807	63807.34037	63406.58512	64781.571	66078.49372	68204.77262	70192.92999	73548.6423	61375.17363	66248.08657	72819.67418	75442.82437	82040.10544	90160.02048	98762.50087	103256.3756	107288.3441	103500.1919	105019.59	107443.0039	107553.5233	111379.5839	115306.3562	119602.9135	124733.8605	132790.6935	2724.752203	2714.206375	2706.061187	2698.608945	2698.938962	2704.779141	2712.722112	2725.873106	2744.446868	2763.711016	2779.945814	2795.738842	2811.081352	2822.722627	2836.788712	2849.482269	2861.70578	2877.748816
Buenos Aires	Argentina	Latin America	1	ARM01	117579.0671	111140.7323	95327.71708	103563.7156	114009.6521	125414.5676	136078.2254	149952.7906	154916.0908	137584.4658	149026.3132	152407.948	149749.3139	149552.5779	139335.0883	143596.5378	138914.9577	142518.3251	175540.3006	170409.7918	148592.7553	164108.6411	195627.119	224354.6326	252882.141	285392.5304	293748.7662	278778.9943	298487.4557	315136.8588	319401.5876	325348.8451	306006.3583	322725.1513	311813.6241	325993.105	11830.5341	11959.82039	12095.76602	12231.96731	12368.16605	12504.03044	12639.02735	12773.44976	12908.24212	13044.36892	13182.84982	13325.17566	13470.49433	13617.07524	13763.15605	13907.27862	14049.72223	14191.43119
Busan	South Korea	Advanced Asia-Pacific	1	KOM02	109032.2696	114909.0268	122956.4562	125146.7323	131130.4406	136856.5623	141667.592	149596.7742	153589.3388	153824.0759	160980.5043	167018.2094	170087.2677	173156.9568	176575.0708	178554.2651	183201.1214	188517.4713	132851.1243	144163.608	155529.8451	160891.0838	175372.3861	187272.3427	201590.7632	220880.7574	236404.6744	233221.2587	249293.1339	265556.6776	276536.1591	283015.8546	290740.1978	298804.2007	310479.4944	325717.0602	7873.411177	7872.530366	7874.322652	7869.195756	7863.01039	7860.228131	7840.684728	7818.634406	7802.327257	7802.360301	7796.650152	7808.078931	7818.951089	7836.081945	7859.327432	7884.397508	7894.52829	7881.033619
Cairo	Egypt	Middle East and Africa	1	EGM01	40925.79367	41929.51153	42428.76795	43496.27968	44840.97532	46411.24298	48949.36613	52748.13892	56184.397	58984.21617	61008.18439	62817.01338	64510.66008	65642.15571	66786.76045	70051.48204	73101.65191	76129.08603	145662.9935	154000.0869	158373.6644	163588.4801	172996.4373	184905.3266	200479.0714	219285.3822	239541.5607	251865.796	262218.2145	274970.3757	285907.2053	298428.7057	308124.2179	327547.5089	347608.7103	342657.4431	11310.6456	11390.0595	11469.4734	11548.8873	11628.3012	11707.7151	11787.129	12043.70239	12305.86054	12573.72511	12847.42078	13127.07373	13412.81398	13704.77457	14003.08931	14271.17587	14541.91569	14814.3501
